node_id,node_type,node_subtype,degree,source,source_edge,name,notes,display_group,display_color,display_label,infra_field,infra_type,infra_class,infra_category,infra_name,display_name,gate_name,gate_name_status,needs_gate_name_review,snap_dist_m,index_right,grid_x,grid_y,grid_id,lat,lon,cell_seq,grid_node_code
N5908,dead_end,,1.0,graph,,N5908,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.768218296782536,-73.97147979467259,36,11036
N5907,junction,,4.0,graph,,N5907,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76818840420087,-73.9714996993032,37,11037
INF_0243,infrastructure,tourism:attraction,,infrastructure,E05983,Puffin,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Puffin,Puffin,,,False,7.475224528289216,0,1,1,11,40.76813687122253,-73.9713762126363,38,11038
N5912,junction,,4.0,graph,,N5912,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76812110163288,-73.97154710093363,39,11039
INF_0029,infrastructure,tourism:attraction,,infrastructure,E12280,Delacorte Musical Clock,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Delacorte Musical Clock,Delacorte Musical Clock,,,False,0.17977557234523114,0,1,1,11,40.76811547692238,-73.97117666881537,40,11040
N5930,junction,,3.0,graph,,N5930,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76800980391754,-73.97219530341161,41,11041
N5934,junction,,3.0,graph,,N5934,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.768009701129465,-73.97125269693423,42,11042
N5922,junction,,4.0,graph,,N5922,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76796379652768,-73.97208590283324,43,11043
N5945,junction,,3.0,graph,,N5945,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.767946301958325,-73.97167840128469,44,11044
N5928,junction,,3.0,graph,,N5928,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.767888202034065,-73.97190230014999,45,11045
N5950,junction,,3.0,graph,,N5950,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76787480336459,-73.9726129981158,46,11046
INF_0118,infrastructure,amenity:drinking_water,,infrastructure,E06007,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,14.484927753119305,0,1,1,11,40.76780877157875,-73.97140507328136,47,11047
N5927,junction,,4.0,graph,,N5927,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76777259942885,-73.97237280130811,48,11048
INF_0018,infrastructure,tourism:attraction,,infrastructure,E06027,California Sea Lion,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,California Sea Lion,California Sea Lion,,,False,11.459209555529437,0,1,1,11,40.767763457506334,-73.9716443640027,49,11049
N5926,dead_end,,1.0,graph,,N5926,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.767742302101134,-73.97239279457769,50,11050
N5919,junction,,3.0,graph,,N5919,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.767712398910795,-73.97186539992936,51,11051
N5905,dead_end,,1.0,graph,,N5905,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.767598601046046,-73.97233319431912,52,11052
INF_0301,infrastructure,tourism:attraction,,infrastructure,E05981,Tropical Zone,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Tropical Zone,Tropical Zone,,,False,16.627075176889242,0,1,1,11,40.7675986,-73.9723332,53,11053
N5906,junction,,3.0,graph,,N5906,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76758280430465,-73.9722952023191,54,11054
INF_0307,infrastructure,barrier:gate,,infrastructure,E06009,Unnamed gate,useful_infrastructure; barrier:gate,infrastructure,#7f7f7f,Entrance / gate,barrier,gate,Entrance / gate,Entrance / gate,Unnamed gate,Unnamed gate,,missing_name,True,0.0,0,1,1,11,40.7675767,-73.9716415,55,11055
N5933,junction,,3.0,graph,,N5933,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.767575199964924,-73.97158220084707,56,11056
N8828,junction,,3.0,graph,,N8828,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76756219933255,-73.9711393948303,57,11057
N5918,junction,,3.0,graph,,N5918,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.767549699754866,-73.97197980564204,58,11058
N8829,dead_end,,1.0,graph,,N8829,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.7675207990114,-73.97103760251822,59,11059
INF_0288,infrastructure,amenity:toilets,,infrastructure,E06013,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,9.32632871121537,0,1,1,11,40.76750539658533,-73.97210915657364,60,11060
N5925,junction,,3.0,graph,,N5925,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.767457202777,-73.97176659453635,61,11061
N1420,junction,,3.0,graph,,N1420,length_confirmation,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76742779620622,-73.97168940426408,62,11062
INF_0105,infrastructure,amenity:drinking_water,,infrastructure,E06013,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,8.250873589675983,0,1,1,11,40.767390198231375,-73.97183227302584,63,11063
INF_0290,infrastructure,amenity:toilets,,infrastructure,E09115,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,10.116918544999294,0,1,1,11,40.76734663651967,-73.97149086472902,64,11064
INF_0043,infrastructure,amenity:drinking_water,,infrastructure,E09114,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,1.187948546719261,0,1,1,11,40.76730662820667,-73.97133240564891,65,11065
INF_0098,infrastructure,amenity:drinking_water,,infrastructure,E01408,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,5.9068405143824645,0,1,1,11,40.76714521535432,-73.97189045380216,66,11066
INF_0027,infrastructure,amenity:cafe,,infrastructure,E01408,Dancing Crane Cafe,useful_infrastructure; amenity:cafe,infrastructure,#ff7f0e,Food / cafe,amenity,cafe,Food / cafe,Food / cafe,Dancing Crane Cafe,Dancing Crane Cafe,,,False,14.424669500003194,0,1,1,11,40.76712127935627,-73.97190748373495,67,11067
N8944,junction,,3.0,graph,,N8944,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76691199953586,-73.97311639866055,68,11068
N8908,junction,,4.0,graph,,N8908,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76676531486421,-73.97297557505172,69,11069
N8942,junction,,4.0,graph,,N8942,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.766746806198256,-73.97303063532614,70,11070
N1417,junction,,3.0,graph,,N1417,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76670279966796,-73.97244769494235,71,11071
N6426,junction,,3.0,graph,,N6426,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76668269606421,-73.97330729957335,72,11072
N1412,junction,,3.0,graph,,N1412,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76666859637995,-73.97222229616447,73,11073
N9099,dead_end,,1.0,graph,,N9099,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76655180000255,-73.97266510495486,74,11074
INF_0044,infrastructure,amenity:drinking_water,,infrastructure,E06513,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,1.5403095811012613,0,1,1,11,40.76607792645666,-73.97354770683144,75,11075
N6070,junction,,3.0,graph,,N6070,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76600999564767,-73.97354639653048,76,11076
N6069,junction,,3.0,graph,,N6069,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76596029849699,-73.97346359522504,77,11077
INF_0278,infrastructure,tourism:artwork,,infrastructure,E06158,Thomas Moore,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Thomas Moore,Thomas Moore,,,False,7.820435962644776,0,1,1,11,40.76587481381634,-73.97330575382924,78,11078
N6077,junction,,4.0,graph,,N6077,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.765610298112,-73.97307509860468,79,11079
N6019,junction,,4.0,graph,,N6019,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76557920364338,-73.97300249742426,80,11080
N6017,dead_end,,1.0,graph,,N6017,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76553270337388,-73.97288520506477,81,11081
N13379,dead_end,,1.0,graph,,N13379,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.765267101189835,-73.97317180231816,82,11082
N13089,dead_end,,1.0,graph,,N13089,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76521700439932,-73.97468629462661,83,11083
N8924,junction,,3.0,graph,,N8924,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76519700405299,-73.97336790198091,84,11084
N0982,junction,,3.0,graph,,N0982,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.7651648996856,-73.97393729695482,85,11085
N8808,dead_end,,1.0,graph,,N8808,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76513270376408,-73.97450380185481,86,11086
N8810,junction,,3.0,graph,,N8810,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76509520016805,-73.97450260116149,87,11087
N6130,junction,,3.0,graph,,N6130,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76508750009408,-73.97344610248754,88,11088
INF_0058,infrastructure,amenity:drinking_water,,infrastructure,E03116,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,2.3884284163021188,1,1,2,12,40.772129991511505,-73.9712817687116,1,12001
C_INT_0010,intermediate_confirmation,length_confirmation,,edge_rule,E14123,length_confirmation_10,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.771661832675534,-73.9718626281984,2,12002
N3107,junction,,3.0,graph,,N3107,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.771656501784435,-73.9706152982613,3,12003
N1579,junction,,3.0,graph,,N1579,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77156370259196,-73.97087240265316,4,12004
N10666,junction,,3.0,graph,,N10666,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.771559003245315,-73.97010940477954,5,12005
C_INT_0011,intermediate_confirmation,length_confirmation,,edge_rule,E14123,length_confirmation_11,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77097136456391,-73.97213395064294,6,12006
N3036,junction,,3.0,graph,,N3036,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.770949898492496,-73.97275590454585,7,12007
INF_0349,infrastructure,tourism:artwork,,infrastructure,E03040,Women's Rights Pioneers Monument,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Women's Rights Pioneers Monument,Women's Rights Pioneers Monument,,,False,12.452467865410572,1,1,2,12,40.77081985823146,-73.97235216958518,8,12008
N1560,junction,,4.0,graph,,N1560,length_confirmation,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77078750109024,-73.97220619979333,9,12009
INF_0129,infrastructure,tourism:artwork,,infrastructure,E02987,Fitz-Greene Halleck,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Fitz-Greene Halleck,Fitz-Greene Halleck,,,False,9.470028250030976,1,1,2,12,40.77068776255767,-73.97224442437697,10,12010
N3053,junction,,3.0,graph,,N3053,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.770542401008335,-73.97292150385746,11,12011
N1540,junction,,3.0,graph,,N1540,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77052600279751,-73.97158909944964,12,12012
INF_0158,infrastructure,tourism:artwork,,infrastructure,E06918,Indian Hunter,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Indian Hunter,Indian Hunter,,,False,3.7120940861440843,1,1,2,12,40.770406418396206,-73.97313163860184,13,12013
N0276,junction,,3.0,graph,,N0276,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77038319609784,-73.9710952989867,14,12014
N1521,junction,,3.0,graph,,N1521,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77030629718049,-73.97159110078864,15,12015
N3009,junction,,3.0,graph,,N3009,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77028850151203,-73.97296320036487,16,12016
INF_0247,infrastructure,tourism:artwork,,infrastructure,E02987,Robert Burns,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Robert Burns,Robert Burns,,,False,10.684763859532392,1,1,2,12,40.77016607689248,-73.97244435841202,17,12017
INF_0259,infrastructure,tourism:artwork,,infrastructure,E02987,Sir Walter Scott,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Sir Walter Scott,Sir Walter Scott,,,False,9.284890538010206,1,1,2,12,40.77016409585633,-73.97244511763013,18,12018
N1547,junction,,4.0,graph,,N1547,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77016157777461,-73.97133745222247,19,12019
INF_0248,infrastructure,tourism:information,,infrastructure,E02987,Robert Burns,useful_infrastructure; tourism:information,infrastructure,#9467bd,Information / landmark,tourism,information,Information / landmark,Information / landmark,Robert Burns,Robert Burns,,,False,8.366822828449603,1,1,2,12,40.77015911755358,-73.97244702552925,20,12020
N0272,junction,,4.0,graph,,N0272,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.770126271954894,-73.97126043296858,21,12021
N3003,junction,,3.0,graph,,N3003,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77008850034278,-73.97286839525977,22,12022
N2991,junction,,3.0,graph,,N2991,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.77000679670853,-73.9725054029889,23,12023
INF_0081,infrastructure,amenity:drinking_water,,infrastructure,E02994,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,3.6254126705294034,1,1,2,12,40.770002180682,-73.97259666169012,24,12024
N3000,junction,,3.0,graph,,N3000,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76995020260852,-73.97269219752859,25,12025
N1531,junction,,3.0,graph,,N1531,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76989399643405,-73.97236610214425,26,12026
INF_0024,infrastructure,tourism:artwork,,infrastructure,E03002,Christopher Columbus,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Christopher Columbus,Christopher Columbus,,,False,3.545823796857976,1,1,2,12,40.769893263967646,-73.9727339159511,27,12027
N6662,junction,,3.0,graph,,N6662,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76986739950418,-73.9731093960617,28,12028
N2990,junction,,3.0,graph,,N2990,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76981739837044,-73.97277690150247,29,12029
INF_0348,infrastructure,tourism:artwork,,infrastructure,E02971,William Shakespeare,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,William Shakespeare,William Shakespeare,,,False,4.07469197126536,1,1,2,12,40.76981493099777,-73.97241362934946,30,12030
N3005,junction,,3.0,graph,,N3005,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.769812997621905,-73.97293830496423,31,12031
N6778,junction,,3.0,graph,,N6778,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.769808999823205,-73.97300329892123,32,12032
N2951,junction,,3.0,graph,,N2951,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76977739684775,-73.97344250556853,33,12033
N2973,junction,,3.0,graph,,N2973,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76977629621814,-73.97243829846678,34,12034
N2972,junction,,4.0,graph,,N2972,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76976210043606,-73.9730446037806,35,12035
N0288,junction,,4.0,graph,,N0288,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76970169652666,-73.9730939012675,36,12036
N2970,junction,,4.0,graph,,N2970,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.769643797847365,-73.97314330228224,37,12037
N0290,junction,,4.0,graph,,N0290,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76961490143218,-73.972286499842,38,12038
N0257,junction,,4.0,graph,,N0257,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.769538395914026,-73.97224229726224,39,12039
N1382,junction,,3.0,graph,,N1382,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76948549590405,-73.97174650048326,40,12040
N0292,junction,,3.0,graph,,N0292,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76945080390681,-73.97218830068377,41,12041
N6068,junction,,3.0,graph,,N6068,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.769403802562884,-73.97235669881431,42,12042
N2968,dead_end,,1.0,graph,,N2968,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.769228000335794,-73.97379370179088,43,12043
INF_0160,infrastructure,tourism:information,,infrastructure,E02963,Information,useful_infrastructure; tourism:information,infrastructure,#9467bd,Information / landmark,tourism,information,Information / landmark,Information / landmark,Information,Information,,,False,1.4056353523427063,1,1,2,12,40.76922342867439,-73.9737965810891,44,12044
N2865,junction,,4.0,graph,,N2865,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76920439882539,-73.97404500029151,45,12045
N2867,junction,,3.0,graph,,N2867,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.769116099625464,-73.97387490555154,46,12046
INF_0271,infrastructure,tourism:information,,infrastructure,E02953,The Dairy (Visitor Center and Gift Shop),useful_infrastructure; tourism:information,infrastructure,#9467bd,Information / landmark,tourism,information,Information / landmark,Information / landmark,The Dairy (Visitor Center and Gift Shop),The Dairy (Visitor Center and Gift Shop),,,False,4.487064830865045,1,1,2,12,40.76906046069354,-73.97372886156356,47,12047
N9000,dead_end,,1.0,graph,,N9000,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76900830163014,-73.97263729424903,48,12048
N6318,junction,,3.0,graph,,N6318,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76886230159981,-73.97315130495446,49,12049
N2965,junction,,3.0,graph,,N2965,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.768860499492675,-73.9732119985999,50,12050
INF_0263,infrastructure,tourism:attraction,,infrastructure,E06053,Snow Leopard,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Snow Leopard,Snow Leopard,,,False,11.677482064327444,1,1,2,12,40.7685655,-73.9724386,51,12051
N8892,dead_end,,1.0,graph,,N8892,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76851180127869,-73.97315309881454,52,12052
N1620,junction,,3.0,graph,,N1620,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76851049680133,-73.97451579591468,53,12053
INF_0244,infrastructure,tourism:attraction,,infrastructure,E06057,Red Panda,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Red Panda,Red Panda,,,False,18.898582323500708,1,1,2,12,40.76835333153157,-73.97257608595088,54,12054
N5955,junction,,3.0,graph,,N5955,,core,red,Core candidate node,,,,,,,,,,,1,1,2,12,40.76829739641605,-73.97254730477408,55,12055
